model,lower,median,upper
exp,0.5767167529451995,0.6638554971759985,0.7387336675277459
expA,0.3338925589148771,0.5032375208358182,0.6500560665682118
expB,-0.027388567874814227,0.16278430602606037,0.3427122578863325
