,modtheta,flipped,model,lower,median,upper
88,80.0,same,oc,17.420331963,17.2823403182,17.1423980236
89,80.0,same,th,24.8870940371,24.0098820777,23.0245926377
90,100.0,flipped,bq,22.004444753,21.6107469965,21.2134679152
91,100.0,flipped,bqp,23.02669757,22.606936758,22.1931946333
92,100.0,flipped,exp,2319.27877565,2244.47363792,2159.72525307
93,100.0,flipped,expA,2410.10554395,2300.61934315,2159.19621296
94,100.0,flipped,expB,2271.73213822,2195.10758999,2112.57007873
95,100.0,flipped,gs,722.0,722.0,722.0
96,100.0,flipped,hc,24.7534119534,24.0262096459,23.3854180542
97,100.0,flipped,oc,21.7910577291,21.6367626578,21.5009928481
98,100.0,flipped,th,28.5083636392,27.4345289394,26.3498011227
99,100.0,same,bq,21.8966891143,21.5132302237,21.1254926993
100,100.0,same,bqp,21.0168076441,20.6171668142,20.2237411713
101,100.0,same,exp,2132.85655751,2080.47702245,2027.4924
102,100.0,same,expA,2242.04431755,2161.56735785,2086.37906867
103,100.0,same,expB,2076.64682167,2004.63809061,1933.67153247
104,100.0,same,gs,722.0,722.0,722.0
105,100.0,same,hc,24.7747135641,24.0988988563,23.4471966529
106,100.0,same,oc,21.8204490334,21.6735615013,21.5302675165
107,100.0,same,th,28.6200325365,27.6676765418,26.7155096598
108,120.0,flipped,bq,22.8054926072,22.3770636195,21.9533798226
109,120.0,flipped,bqp,24.2179149043,23.7490016829,23.2988076409
110,120.0,flipped,exp,2373.07359063,2316.1542767,2264.94793915
111,120.0,flipped,expA,2444.67734599,2366.44719396,2283.07235537
112,120.0,flipped,expB,2351.43661207,2277.68405628,2206.65736672
113,120.0,flipped,gs,722.0,722.0,722.0
114,120.0,flipped,hc,21.8308836984,21.3035577123,20.8060108116
115,120.0,flipped,oc,26.1969332344,26.0322354924,25.8535866526
116,120.0,flipped,th,26.6608395311,25.6200884433,24.6183762724
117,120.0,same,bq,22.605593249,22.1629479208,21.7583777775
118,120.0,same,bqp,21.5792179974,21.1759728369,20.7848466759
119,120.0,same,exp,2211.43226478,2156.56160675,2100.85760169
120,120.0,same,expA,2320.23558354,2234.09143956,2129.301991
121,120.0,same,expB,2155.98175783,2084.84897139,2023.29006951
122,120.0,same,gs,722.0,722.0,722.0
123,120.0,same,hc,21.7364081736,21.1825596332,20.6500180889
124,120.0,same,oc,26.0350514989,25.8784888773,25.7061415154
125,120.0,same,th,28.0131622486,27.1323729149,26.253819863
126,140.0,flipped,bq,23.1351076483,22.6817283145,22.2290827172
127,140.0,flipped,bqp,24.1261930192,23.6449936709,23.1718779581
128,140.0,flipped,exp,2376.37108916,2305.87876378,2226.75884586
129,140.0,flipped,expA,2496.09665636,2394.17822996,2288.15816051
130,140.0,flipped,expB,2323.9040624,2229.0784531,2121.85962091
131,140.0,flipped,gs,722.0,722.0,722.0
132,140.0,flipped,hc,17.8636328947,17.444439587,17.0484412144
133,140.0,flipped,oc,30.6422298844,30.4622496638,30.2862650592
