model,lower,median,upper
exp,-0.8154301505610979,-0.7577380039290476,-0.6828011080612715
expA,-0.7231758204099851,-0.6220720124195616,-0.49921952045627205
expB,-0.7246684707032442,-0.6108834962460445,-0.4700244559150557
