,stimulus,theta,flipped,model,lower,median,upper,modtheta
0,0,0.0,flipped,bq,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
1,0,0.0,flipped,bqp,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
2,0,0.0,flipped,exp,0.9373941512151887,0.978316048393453,0.9958211875525282,0.0
3,0,0.0,flipped,expA,0.8778210644127505,0.9567781590915888,0.991595964861054,0.0
4,0,0.0,flipped,expB,0.9512415405559287,0.9954835638464232,0.9999902283366982,0.0
5,0,0.0,flipped,gs,0.33317824559879056,0.9044741819621789,0.999783091529969,0.0
6,0,0.0,flipped,hc,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
7,0,0.0,flipped,oc,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
8,0,0.0,flipped,th,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
9,0,0.0,same,bq,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
10,0,0.0,same,bqp,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
11,0,0.0,same,exp,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
12,0,0.0,same,expA,0.9512415405559287,0.9954835638464232,0.9999902283366982,0.0
13,0,0.0,same,expB,0.9512415405559287,0.9954835638464232,0.9999902283366982,0.0
14,0,0.0,same,gs,0.33317824559879056,0.9044741819621789,0.999783091529969,0.0
15,0,0.0,same,hc,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
16,0,0.0,same,oc,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
17,0,0.0,same,th,0.9752547299847301,0.99773357077147,0.9999951019268956,0.0
18,0,20.0,flipped,bq,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
19,0,20.0,flipped,bqp,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
20,0,20.0,flipped,exp,0.8778210644127505,0.9567781590915888,0.991595964861054,20.0
21,0,20.0,flipped,expA,0.9053172358904166,0.9910323180131747,0.9999805542291018,20.0
22,0,20.0,flipped,expB,0.7673081248031126,0.91413684297191,0.9830006267668373,20.0
23,0,20.0,flipped,gs,0.14674631630957508,0.8368060145916074,0.9996144190192441,20.0
24,0,20.0,flipped,hc,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
25,0,20.0,flipped,oc,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
26,0,20.0,flipped,th,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
27,0,20.0,same,bq,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
28,0,20.0,same,bqp,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
29,0,20.0,same,exp,0.910319648943036,0.9765011322475249,0.9978335058247063,20.0
30,0,20.0,same,expA,0.8278670420398774,0.9533211538486398,0.9956496031726275,20.0
31,0,20.0,same,expB,0.9053172358904166,0.9910323180131747,0.9999805542291018,20.0
32,0,20.0,same,gs,0.14674631630957508,0.8368060145916074,0.9996144190192441,20.0
33,0,20.0,same,hc,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
34,0,20.0,same,oc,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
35,0,20.0,same,th,0.9512415405559287,0.9954835638464232,0.9999902283366982,20.0
36,0,40.0,flipped,bq,0.9512415405559287,0.9954835638464232,0.9999902283366982,40.0
37,0,40.0,flipped,bqp,0.8778210644127505,0.9567781590915888,0.991595964861054,40.0
38,0,40.0,flipped,exp,0.8778210644127505,0.9567781590915888,0.991595964861054,40.0
39,0,40.0,flipped,expA,0.8278670420398774,0.9533211538486398,0.9956496031726275,40.0
40,0,40.0,flipped,expB,0.8278670420398774,0.9533211538486398,0.9956496031726275,40.0
41,0,40.0,flipped,gs,0.14674631630957508,0.8368060145916074,0.9996144190192441,40.0
42,0,40.0,flipped,hc,0.9512415405559287,0.9954835638464232,0.9999902283366982,40.0
43,0,40.0,flipped,oc,0.9512415405559287,0.9954835638464232,0.9999902283366982,40.0
44,0,40.0,flipped,th,0.9512415405559287,0.9954835638464232,0.9999902283366982,40.0
45,0,40.0,same,bq,0.910319648943036,0.9765011322475249,0.9978335058247063,40.0
46,0,40.0,same,bqp,0.9512415405559287,0.9954835638464232,0.9999902283366982,40.0
47,0,40.0,same,exp,0.910319648943036,0.9765011322475249,0.9978335058247063,40.0
48,0,40.0,same,expA,0.9053172358904166,0.9910323180131747,0.9999805542291018,40.0
49,0,40.0,same,expB,0.8278670420398774,0.9533211538486398,0.9956496031726275,40.0
50,0,40.0,same,gs,0.14674631630957508,0.8368060145916074,0.9996144190192441,40.0
51,0,40.0,same,hc,0.9512415405559287,0.9954835638464232,0.9999902283366982,40.0
52,0,40.0,same,oc,0.9512415405559287,0.9954835638464232,0.9999902283366982,40.0
53,0,40.0,same,th,0.9512415405559287,0.9954835638464232,0.9999902283366982,40.0
54,0,60.0,flipped,bq,0.910319648943036,0.9765011322475249,0.9978335058247063,60.0
55,0,60.0,flipped,bqp,0.910319648943036,0.9765011322475249,0.9978335058247063,60.0
56,0,60.0,flipped,exp,0.8778210644127505,0.9567781590915888,0.991595964861054,60.0
57,0,60.0,flipped,expA,0.8278670420398774,0.9533211538486398,0.9956496031726275,60.0
58,0,60.0,flipped,expB,0.8278670420398774,0.9533211538486398,0.9956496031726275,60.0
59,0,60.0,flipped,gs,0.14674631630957508,0.8368060145916074,0.9996144190192441,60.0
60,0,60.0,flipped,hc,0.23779942656554448,0.3609376559922017,0.49789030613500207,60.0
