,stimulus,theta,flipped,model,lower,median,upper,modtheta
84,0,80.0,same,expA,2017.73550508,1708.45521075,1450.00850894,80.0
85,0,80.0,same,expB,2088.66091604,1755.91493286,1517.4012068,80.0
86,0,80.0,same,gs,722.0,722.0,722.0,80.0
87,0,80.0,same,oc,18.5023204193,17.7671431357,16.9953479137,80.0
88,0,80.0,same,th,39.6215533994,34.2473514642,30.3594545271,80.0
89,0,100.0,flipped,bq,22.501730356,20.2421597177,18.3573180553,100.0
90,0,100.0,flipped,bqp,24.609243299,22.1332622258,19.8900083043,100.0
91,0,100.0,flipped,exp,2422.64563213,2162.32349038,1959.58421871,100.0
92,0,100.0,flipped,expA,2695.49525684,2288.93948316,1981.83108124,100.0
93,0,100.0,flipped,expB,2388.28267345,2057.89231257,1771.84335254,100.0
94,0,100.0,flipped,gs,722.0,722.0,722.0,100.0
95,0,100.0,flipped,oc,22.8131242227,21.8812884879,20.9575009434,100.0
96,0,100.0,flipped,th,33.9377700236,30.0237197873,27.1060808444,100.0
97,0,100.0,same,bq,23.0422123946,20.8365379693,19.09870605,100.0
98,0,100.0,same,bqp,23.8041359091,21.2129589239,18.8062327515,100.0
99,0,100.0,same,exp,2307.8810061,2034.73914863,1816.42326901,100.0
100,0,100.0,same,expA,2506.19387249,2152.55198389,1876.81902255,100.0
101,0,100.0,same,expB,2328.05738127,1936.51574488,1629.21679324,100.0
102,0,100.0,same,gs,722.0,722.0,722.0,100.0
103,0,100.0,same,oc,22.4027868709,21.3577141794,20.2874489683,100.0
104,0,100.0,same,th,33.0043707861,28.5253161054,25.6525540821,100.0
105,0,120.0,flipped,bq,23.0150343147,20.6334925234,18.6404596555,120.0
106,0,120.0,flipped,bqp,28.7640140941,25.3070624596,22.3818068906,120.0
107,0,120.0,flipped,exp,2681.62620544,2355.911968,2064.3670403,120.0
108,0,120.0,flipped,expA,2889.43613468,2405.06809596,1908.78295813,120.0
109,0,120.0,flipped,expB,2803.71326743,2326.07509359,1951.21336439,120.0
110,0,120.0,flipped,gs,722.0,722.0,722.0,120.0
111,0,120.0,flipped,hc,21.0760756914,20.2835634945,19.4419736258,120.0
112,0,120.0,flipped,oc,27.6260965705,26.896030633,26.1440126075,120.0
113,0,120.0,flipped,th,38.0781215852,33.5579127821,30.4217005937,120.0
114,0,120.0,same,bq,22.3954776563,19.8894034914,17.8505601058,120.0
115,0,120.0,same,bqp,23.5459460872,21.004900553,18.9937092923,120.0
116,0,120.0,same,exp,2421.26171735,2153.69180233,1925.07188487,120.0
117,0,120.0,same,expA,2587.58029451,2251.05489049,1961.8611317,120.0
118,0,120.0,same,expB,2562.34025754,2078.01950435,1768.29754518,120.0
119,0,120.0,same,gs,722.0,722.0,722.0,120.0
120,0,120.0,same,hc,31.4692500028,30.3766353607,29.3576157341,120.0
121,0,120.0,same,oc,27.7697333605,26.7451856953,25.8423663397,120.0
122,0,120.0,same,th,22.8094621602,18.2121894366,14.9084855691,120.0
123,0,140.0,flipped,bq,29.0891352914,25.1153274818,22.2885962158,140.0
124,0,140.0,flipped,bqp,28.4877317405,24.6060711167,21.6739596472,140.0
125,0,140.0,flipped,exp,2823.64275096,2505.08780301,2255.24221102,140.0
126,0,140.0,flipped,expA,2881.96763807,2471.188025,2113.41409541,140.0
127,0,140.0,flipped,expB,3002.82013798,2539.9428974,2188.41132146,140.0
128,0,140.0,flipped,gs,722.0,722.0,722.0,140.0
129,0,140.0,flipped,hc,19.7163702413,18.8605825155,17.97279511,140.0
130,0,140.0,flipped,oc,32.7809083853,31.4912977393,30.2123124335,140.0
131,0,140.0,flipped,th,41.2380634662,36.4830725297,32.6616095474,140.0
132,0,140.0,same,bq,26.1794057213,23.17978036,20.7464086511,140.0
133,0,140.0,same,bqp,23.7673652136,21.0044013409,18.7925997186,140.0
134,0,140.0,same,exp,2503.46372526,2196.92790228,1964.27952869,140.0
135,0,140.0,same,expA,2847.77642004,2313.49413186,1922.10347173,140.0
136,0,140.0,same,expB,2468.46483827,2100.66595916,1834.28609214,140.0
137,0,140.0,same,gs,722.0,722.0,722.0,140.0
138,0,140.0,same,hc,23.1542752439,22.0485024116,20.9736877205,140.0
139,0,140.0,same,oc,31.3794617084,30.2089171256,29.0146472994,140.0
140,0,140.0,same,th,18.4156625432,15.9373343304,13.7306904947,140.0
141,0,160.0,flipped,bq,22.0189107147,19.6506052999,17.7116669883,160.0
142,0,160.0,flipped,bqp,24.8997926084,22.2342547999,19.9128298401,160.0
143,0,160.0,flipped,exp,2898.45458619,2594.62434959,2324.61050461,160.0
144,0,160.0,flipped,expA,2872.35527231,2460.9607755,2053.63585208,160.0
145,0,160.0,flipped,expB,3209.90892012,2773.55017558,2432.85443633,160.0
146,0,160.0,flipped,gs,722.0,722.0,722.0,160.0
147,0,160.0,flipped,hc,16.3592350027,15.4909534808,14.6547366161,160.0
148,0,160.0,flipped,oc,35.3951629461,34.1998176759,33.0826987941,160.0
149,0,160.0,flipped,th,16.3526879424,13.8348499165,11.9612392786,160.0
150,0,160.0,same,bq,24.1614408232,21.4429179518,19.2040802291,160.0
151,0,160.0,same,bqp,27.2328158436,23.0476571009,20.0752909185,160.0
152,0,160.0,same,exp,2742.18746852,2415.55649333,2145.44252933,160.0
153,0,160.0,same,expA,2764.67571176,2321.84567258,1964.19090358,160.0
154,0,160.0,same,expB,2987.84018397,2497.61596124,2114.08695773,160.0
155,0,160.0,same,gs,722.0,722.0,722.0,160.0
156,0,160.0,same,hc,14.9677566842,14.2027171977,13.440491742,160.0
157,0,160.0,same,oc,34.7394364577,33.3226841979,32.0032046695,160.0
158,0,160.0,same,th,19.7265549876,16.2439885258,13.837138169,160.0
159,0,180.0,flipped,bq,27.0997774828,24.4532765571,22.4133551344,180.0
