model,trial,lower,median,upper
exp,1,0.699842691072,0.762183288511,0.817796949768
exp,2,0.736698863214,0.796450695582,0.84855982716
exp,3,0.737975570055,0.797476990826,0.849347721286
exp,4,0.793644165888,0.847896272922,0.893229213676
exp,5,0.768936743253,0.825973737419,0.874566733735
exp,6,0.839531401672,0.888231166368,0.926985714766
exp,7,0.806870247007,0.859397890357,0.902804458547
exp,8,0.776774068029,0.832770539975,0.880233929029
exp,9,0.73968566381,0.799485963566,0.851486989964
exp,10,0.81818417729,0.869380971866,0.911205045673
exp,11,0.799304323368,0.852938170305,0.897524277382
exp,12,0.783434710211,0.838626103871,0.88517814065
exp,13,0.778926682059,0.834440045739,0.881462700183
exp,14,0.805931777071,0.858692531426,0.902304674061
exp,15,0.710676910284,0.772267214846,0.826872266527
exp,16,0.778926682059,0.834440045739,0.881462700183
exp,17,0.811605014327,0.863709118235,0.906537475196
exp,18,0.801244192938,0.854406335863,0.898573348548
exp,19,0.801244192938,0.854406335863,0.898573348548
exp,20,0.816406422174,0.868063810653,0.910288198949
exp,21,0.83452251146,0.883775353745,0.923244901203
exp,22,0.76787027745,0.824456866066,0.8728052636
exp,23,0.81818417729,0.869380971866,0.911205045673
exp,24,0.799304323368,0.852938170305,0.897524277382
exp,25,0.828757168724,0.878758814413,0.919103878526
exp,26,0.805931777071,0.858692531426,0.902304674061
exp,27,0.851982038705,0.898824866319,0.935505196325
exp,28,0.799304323368,0.852938170305,0.897524277382
exp,29,0.777855577944,0.833609480559,0.880851485987
exp,30,0.828757168724,0.878758814413,0.919103878526
exp,31,0.795637570573,0.849414773432,0.894322861525
exp,32,0.829587272194,0.879364009118,0.919516773032
exp,33,0.846133308025,0.893808382196,0.931447181327
exp,34,0.823016622774,0.873742261011,0.914938155975
exp,35,0.811605014327,0.863709118235,0.906537475196
exp,36,0.790049588156,0.844423203832,0.890053783938
exp,37,0.812516594744,0.86438943603,0.907015335634
exp,38,0.782379746611,0.837812457118,0.88458333551
exp,39,0.772293167598,0.82859285184,0.876508146647
exp,40,0.804984158081,0.857980059671,0.901799719076
exp,41,0.83452251146,0.883775353745,0.923244901203
exp,42,0.803060933589,0.856533342947,0.900773973031
exp,43,0.784479516441,0.839431627737,0.885766840394
exp,44,0.823016622774,0.873742261011,0.914938155975
exp,45,0.801244192938,0.854406335863,0.898573348548
exp,46,0.817299617536,0.868725695158,0.910748978473
exp,47,0.852701384835,0.899329897943,0.935833583852
exp,48,0.828757168724,0.878758814413,0.919103878526
exp,49,0.811605014327,0.863709118235,0.906537475196
exp,50,0.817299617536,0.868725695158,0.910748978473
exp,51,0.827072495977,0.877530023914,0.918265240687
exp,52,0.822150843675,0.873105670052,0.914499260282
exp,53,0.863106499938,0.908398219283,0.943235197374
exp,54,0.851982038705,0.898824866319,0.935505196325
exp,55,0.810684540767,0.863021940129,0.906054674156
exp,56,0.804027255856,0.857260366956,0.90128951287
exp,57,0.790580209631,0.845560218269,0.891545589451
exp,58,0.774579219928,0.831067020691,0.878979387285
exp,59,0.849781263588,0.897278903821,0.934499543184
exp,60,0.774579219928,0.831067020691,0.878979387285
exp,61,0.821276565025,0.872462627193,0.914055808987
exp,62,0.814593614706,0.866719814384,0.909352207521
exp,63,0.823016622774,0.873742261011,0.914938155975
exp,64,0.841089094378,0.88934699008,0.92773016084
exp,65,0.827918949789,0.878147516937,0.91868672319
exp,66,0.83452251146,0.883775353745,0.923244901203
exp,67,0.816406422174,0.868063810653,0.910288198949
exp,68,0.817299617536,0.868725695158,0.910748978473
exp,69,0.832066963138,0.881999433216,0.922045840885
